symbol,SL,E-SL
ABFRL,66.8,0.0
BAJAJHFL,86.2,0.0
BAJFINANCE,884.8,0.0
BPCL,349.5,0.0
CGPOWER,621.3,0.0
DELTACORP,63.1,0.0
DLF,604.9,0.0
ETERNAL,273.4,0.0
FORTIS,827.0,0.0
HDFCBANK,900.2,0.0
IDEA,10.7,0.0
INDIGOPNTS,982.1,0.0
INFY,1490.4,1439.62
IOC,163.2,0.0
IRB,40.0,0.0
IRCTC,590.0,0.0
ITBEES,38.3,0.0
ITC,293.2,0.0
ITCHOTELS,174.3,0.0
JIOFIN,243.3,0.0
METALIETF,11.1,0.0
MODEFENCE,80.8,0.0
NBCC,93.9,0.0
NHPC,74.2,0.0
NIFTYBEES,276.9,0.0
NTPC,334.1,0.0
RELIANCE,1321.8,0.0
RENUKA,23.3,0.0
SBILIFE,1914.2,0.0
SBIN,1064.6,0.0
TATAPOWER,344.9,0.0
TATASTEEL,187.2,0.0
TCS,2902.8,0.0
TECHNOE,1005.8,0.0
YESBANK,20.6,0.0
