symbol,buy_above,sl,status,gtt_start,pyramid_count,last_pyramid_date,updated_at
HOMEFIRST,1250.25,1002.87,WAITING,2026-01-28,0,,2026-01-28 08:23:52
JSWSTEEL,1217.72,1134.94,WAITING,2026-01-28,0,,2026-01-28 08:23:52
KARURVYSYA,294.74,248.19,WAITING,2026-01-28,0,,2026-01-28 08:23:52
VEDL,708.06,629.73,ACTIVE,2026-01-28,0,,2026-01-28 20:57:11
APLAPOLLO,2099.1,1856.97,WAITING,2026-01-28,0,,2026-01-28 20:07:09
BEL,457.96,393.03,WAITING,2026-01-28,0,,2026-01-28 20:07:09
BHARATFORG,1470.57,1353.03,WAITING,2026-01-28,0,,2026-01-28 20:07:09
BSE,2832.83,2571.03,WAITING,2026-01-28,0,,2026-01-28 20:07:09
COALINDIA,446.4,407.43,WAITING,2026-01-28,0,,2026-01-28 20:07:09
CUB,294.79,258.39,WAITING,2026-01-28,0,,2026-01-28 20:07:09
GESHIP,1191.69,1054.35,WAITING,2026-01-28,0,,2026-01-28 20:07:09
GRAPHITE,665.66,581.53,WAITING,2026-01-28,0,,2026-01-28 20:07:09
HCLTECH,1736.13,1609.74,WAITING,2026-01-28,0,,2026-01-28 20:07:09
HINDALCO,1008.91,864.9,WAITING,2026-01-28,0,,2026-01-28 20:07:09
HINDCOPPER,643.64,515.52,WAITING,2026-01-28,0,,2026-01-28 20:07:09
IOC,164.16,153.22,WAITING,2026-01-28,0,,2026-01-28 20:07:09
JINDALSTEL,1123.12,987.13,WAITING,2026-01-28,0,,2026-01-28 20:07:09
MCX,2607.6,2222.55,WAITING,2026-01-28,0,,2026-01-28 20:07:09
MRPL,169.76,142.51,WAITING,2026-01-28,0,,2026-01-28 20:07:09
NATIONALUM,408.31,342.23,WAITING,2026-01-28,0,,2026-01-28 20:07:09
NTPC,353.6,330.36,WAITING,2026-01-28,0,,2026-01-28 20:07:09
OIL,497.0,412.2,WAITING,2026-01-28,0,,2026-01-28 20:07:09
ONGC,269.92,229.34,WAITING,2026-01-28,0,,2026-01-28 20:07:09
PETRONET,292.29,267.2,WAITING,2026-01-28,0,,2026-01-28 20:07:09
SBIN,1066.67,943.51,WAITING,2026-01-28,0,,2026-01-28 20:07:09
SUNDARMFIN,5290.28,4856.44,WAITING,2026-01-28,0,,2026-01-28 20:07:09
TATASTEEL,195.4,179.07,WAITING,2026-01-28,0,,2026-01-28 20:07:09
TECHM,1767.47,1556.01,WAITING,2026-01-28,0,,2026-01-28 20:07:09
TVSMOTOR,3752.75,3472.43,WAITING,2026-01-28,0,,2026-01-28 20:07:09
UNIONBANK,182.64,161.34,WAITING,2026-01-28,0,,2026-01-28 20:07:09
